(0000000001,wu zheng,3,2)
(0000000003,qian,3,2)
(0000000004,li lie,3,2)
(0000000101,hwu zheng,1,1)
(0000000103,hqian,1,3)
(0000000104,hli lie,1,1)
(0000000107,hzhou miao,1,1)
(0000000108,hwang dong,3,3)
(0000000109,hsun,1,4)
(0002000008,awang dong,1,2)
(0002000009,asun,3,4)
(1000000002,li si,3,1)
(1000000007,li si,2,3)
(1000000008,zhao er,5,3)
(1000000009,zhang san,1,2)
(1100000009,wang wu,4,2)
(1234567890,zhao,1,1)
(2000000001,chong ming,1,2)
(2000000002,chong ming,3,4)
(2000000003,chong ming,1,4)
(2000000004,chong ming,2,2)
