(0000000001,wu zheng,3,2,2,200.00,100.00,56.00,300.00,244.00)
(0000000001,wu zheng,3,2,3,45.00,6.00,6.00,51.00,45.00)
(0000000003,qian,3,2,2,520.00,562.00,3.00,1082.00,1079.00)
(0000000003,qian,3,2,2,226.00,65.00,3.00,291.00,288.00)
(0000000004,li lie,3,2,2,546.00,56.00,15.00,602.00,587.00)
(0000000101,hwu zheng,1,1,2,1556.00,66.00,6.60,1622.00,1615.40)
(0000000103,hqian,1,3,2,46.00,6.00,25.20,52.00,26.80)
(0000000103,hqian,1,3,3,135.00,6.00,3.00,141.00,138.00)
(0000000108,hwang dong,3,3,2,135.00,3.00,5.00,138.00,133.00)
(0000000109,hsun,1,4,3,465.00,65.00,5.00,530.00,525.00)
(0002000009,asun,3,4,2,135145.10,313.30,55.28,135458.40,135403.12)
(1000000002,li si,3,1,2,10000.00,800.00,300.00,10800.00,10500.00)
(1000000007,li si,1,2,2,13.30,32.30,2.10,45.60,43.50)
(1000000008,zhao er,3,4,2,65.30,3.20,2.53,68.50,65.97)
(1100000009,wang wu,1,4,2,16545.00,665.20,23.20,17210.20,17187.00)
(2000000001,chong ming,2,3,2,465.00,6.00,5.00,471.00,466.00)
(2000000002,chong ming,2,2,2,486.00,6.00,23.30,492.00,468.70)
(2000000003,chong ming,5,3,2,65.00,6.00,63.30,71.00,7.70)
(2000000004,chong ming,4,2,2,55.00,3.00,32.00,58.00,26.00)
